Listing...
alsa-utils/testing 1.1.8-2+rpt1 armhf [upgradable from: 1.1.8-2]
apt-utils/stable 1.8.2.3 armhf [upgradable from: 1.8.2.1]
apt/stable 1.8.2.3 armhf [upgradable from: 1.8.2.1]
avahi-daemon/stable 0.7-4+deb10u1 armhf [upgradable from: 0.7-4+b1]
base-files/stable 10.3+rpi1+deb10u9 armhf [upgradable from: 10.3+rpi1+deb10u4]
bind9-host/stable 1:9.11.5.P4+dfsg-5.1+deb10u5 armhf [upgradable from: 1:9.11.5.P4+dfsg-5.1+deb10u1]
bluez-firmware/testing 1.2-4+rpt8 all [upgradable from: 1.2-4+rpt3]
bluez/testing 5.50-1.2~deb10u1+rpt2 armhf [upgradable from: 5.50-1.2~deb10u1+rpt1]
ca-certificates/stable 20200601~deb10u2 all [upgradable from: 20200601~deb10u1]
curl/stable 7.64.0-4+deb10u2 armhf [upgradable from: 7.64.0-4+deb10u1]
dbus/stable 1.12.20-0+deb10u1 armhf [upgradable from: 1.12.16-1]
device-tree-compiler/stable 1.4.7-4 armhf [upgradable from: 1.4.7-3+rpt1]
distro-info-data/stable 0.41+deb10u3 all [upgradable from: 0.41+deb10u2]
dphys-swapfile/testing 20100506-5+rpt2 all [upgradable from: 20100506-5+rpt1]
espeak-data/stable 1.48.04+dfsg-7+deb10u1 armhf [upgradable from: 1.48.04+dfsg-7]
espeak/stable 1.48.04+dfsg-7+deb10u1 armhf [upgradable from: 1.48.04+dfsg-7]
file/stable 1:5.35-4+deb10u2 armhf [upgradable from: 1:5.35-4+deb10u1]
firmware-atheros/testing 1:20190114-1+rpt11 all [upgradable from: 1:20190114-1+rpt7]
firmware-brcm80211/testing 1:20190114-1+rpt11 all [upgradable from: 1:20190114-1+rpt7]
firmware-libertas/testing 1:20190114-1+rpt11 all [upgradable from: 1:20190114-1+rpt7]
firmware-misc-nonfree/testing 1:20190114-1+rpt11 all [upgradable from: 1:20190114-1+rpt7]
firmware-realtek/testing 1:20190114-1+rpt11 all [upgradable from: 1:20190114-1+rpt7]
groff-base/stable 1.22.4-3+deb10u1 armhf [upgradable from: 1.22.4-3]
iproute2/stable 4.20.0-2+deb10u1 armhf [upgradable from: 4.20.0-2]
iputils-ping/stable 3:20180629-2+deb10u2 armhf [upgradable from: 3:20180629-2+deb10u1]
libapt-inst2.0/stable 1.8.2.3 armhf [upgradable from: 1.8.2.1]
libapt-pkg5.0/stable 1.8.2.3 armhf [upgradable from: 1.8.2.1]
libavahi-common-data/stable 0.7-4+deb10u1 armhf [upgradable from: 0.7-4+b1]
libavahi-common3/stable 0.7-4+deb10u1 armhf [upgradable from: 0.7-4+b1]
libavahi-core7/stable 0.7-4+deb10u1 armhf [upgradable from: 0.7-4+b1]
libbind9-161/stable 1:9.11.5.P4+dfsg-5.1+deb10u5 armhf [upgradable from: 1:9.11.5.P4+dfsg-5.1+deb10u1]
libbrotli1/stable 1.0.7-2+deb10u1 armhf [upgradable from: 1.0.7-2]
libbsd0/stable 0.9.1-2+deb10u1 armhf [upgradable from: 0.9.1-2]
libcurl4/stable 7.64.0-4+deb10u2 armhf [upgradable from: 7.64.0-4+deb10u1]
libdbus-1-3/stable 1.12.20-0+deb10u1 armhf [upgradable from: 1.12.16-1]
libdbus-1-dev/stable 1.12.20-0+deb10u1 armhf [upgradable from: 1.12.16-1]
libdns-export1104/stable 1:9.11.5.P4+dfsg-5.1+deb10u5 armhf [upgradable from: 1:9.11.5.P4+dfsg-5.1+deb10u1]
libdns1104/stable 1:9.11.5.P4+dfsg-5.1+deb10u5 armhf [upgradable from: 1:9.11.5.P4+dfsg-5.1+deb10u1]
libegl-mesa0/testing 19.3.2-1~bpo10+1~rpt3 armhf [upgradable from: 19.3.2-1~bpo10+1~rpt1]
libegl1-mesa-dev/testing 19.3.2-1~bpo10+1~rpt3 armhf [upgradable from: 19.3.2-1~bpo10+1~rpt1]
libespeak1/stable 1.48.04+dfsg-7+deb10u1 armhf [upgradable from: 1.48.04+dfsg-7]
